Ensembl Gene ID	Associated Gene Name	SGD Gene	UniProt/SwissProt Accession
YLR066W	SPC3	S000004056	Q12133
YBR125C	PTC4	S000000329	P38089
YOR376W		S000005903	Q08900
YBR173C	UMP1	S000000377	P38293
YCL023C		S000000528	P25563
YHR057C	CPR2	S000001099	P23285
YAL051W	OAF1	S000000048	P39720
YOL162W		S000005522	P0CF19
YOR077W	RTS2	S000005603	P40962
YLR234W	TOP3	S000004224	P13099
YDR198C	RKM2	S000002606	Q03942
YJR124C		S000003885	P47159
YHR107C	CDC12	S000001149	P32468
YER112W	LSM4	S000000914	P40070
YLL066C		S000003989	
YCL026C-A	FRM2	S000000589	P37261
YLR174W	IDP2	S000004164	P41939
YCR018C-A		S000007230	Q96VH1
YCR018C-A		S000007230	Q6B0Y5
YGR108W	CLB1	S000003340	P24868
YDR346C	SVF1	S000002754	Q05515
YDL232W	OST4	S000002391	Q99380
YDR091C	RLI1	S000002498	Q03195
YER165C-A		S000028762	
YKR092C	SRP40	S000001800	P32583
YLR269C		S000004259	O13550
YEL069C	HXT13	S000000795	P39924
YLR117C	CLF1	S000004107	Q12309
YLR385C	SWC7	S000004377	Q06707
YBR250W	SPO23	S000000454	P33757
YDR143C	SAN1	S000002550	P22470
YER185W	PUG1	S000000987	P40100
YGL007W	BRP1	S000002975	P53194
YAL031C	GIP4	S000000029	P39732
YNR075C-A		S000028706	Q8TGJ2
YOL013C	HRD1	S000005373	Q08109
YGR139W		S000003371	P53284
YLR089C	ALT1	S000004079	P52893
YKL222C		S000001705	P35995
YKL155C	RSM22	S000001638	P36056
YGR154C	GTO1	S000003386	P48239
YNL277W	MET2	S000005221	P08465
YOL061W	PRS5	S000005422	Q12265
YDL014W	NOP1	S000002172	P15646
YFR013W	IOC3	S000001909	P43596
YCL064C	CHA1	S000000569	P25379
YDR493W	MZM1	S000002901	Q03429
YLR345W		S000004337	Q06137
YGL022W	STT3	S000002990	P39007
YLR192C	HCR1	S000004182	Q05775
YOR265W	RBL2	S000005791	P48606
YCL019W		S000000524	P25384
YDR031W	MIX14	S000002438	Q04341
YOR333C		S000005860	Q08789
YDL190C	UFD2	S000002349	P54860
YKR083C	DAD2	S000001791	P36162
YBR141C	BMT2	S000000345	P38278
YAL008W	FUN14	S000000006	P18411
YDR453C	TSA2	S000002861	Q04120
YDR191W	HST4	S000002599	P53688
YDR490C	PKH1	S000002898	Q03407
YER107W-A		S000028755	
YLR459W	GAB1	S000004451	P41733
YNL193W		S000005137	P53870
YHR099W	TRA1	S000001141	P38811
YLR360W	VPS38	S000004352	Q05919
YKL070W		S000001553	P36087
YPR170W-B		S000028515	P0C5R9
YKL145W-A		S000028841	P0C5P3
YOR142W	LSC1	S000005668	P53598
YDR304C	CPR5	S000002712	P35176
YLR430W	SEN1	S000004422	Q00416
YPL020C	ULP1	S000005941	Q02724
YHL023C	NPR3	S000001015	P38742
YLR165C	PUS5	S000004155	Q06244
YOR283W		S000005809	Q12040
YMR052C-A		S000004655	Q6B0Y6
YJR054W	KCH1	S000003815	P47114
YOR053W		S000005579	Q08428
YER084W-A		S000028752	
YHL005C		S000000997	P38752
YMR255W	GFD1	S000004868	Q04839
YDR029W		S000002436	Q12111
YDR033W	MRH1	S000002440	Q12117
YPL154C	PEP4	S000006075	P07267
YNL043C		S000004988	P53957
YDR253C	MET32	S000002661	Q12041
YAL032C	PRP45	S000000030	P28004
YNL241C	ZWF1	S000005185	P11412
YNL014W	HEF3	S000004959	P53978
YEL011W	GLC3	S000000737	P32775
YNL291C	MID1	S000005235	P41821
YDL140C	RPO21	S000002299	P04050
YLR079W	SIC1	S000004069	P38634
YMR104C	YPK2	S000004710	P18961
YOR348C	PUT4	S000005875	P15380
YOR097C		S000005623	Q12274
Q0143		S000007277	Q9ZZW3
YOR072W-B		S000028516	Q3E832
YHR103W	SBE22	S000001145	P38814
YOL126C	MDH2	S000005486	P22133
YOL107W		S000005467	Q12239
YHR026W	VMA16	S000001068	P23968
YGL061C	DUO1	S000003029	P53168
YGR028W	MSP1	S000003260	P28737
YMR141W-A		S000028575	P0C5Q4
YJL089W	SIP4	S000003625	P46954
YKL116C	PRR1	S000001599	P28708
YHR134W	WSS1	S000001176	P38838
YOR022C		S000005548	Q12204
YBR228W	SLX1	S000000432	P38324
YNL320W		S000005264	P42840
YGR123C	PPT1	S000003355	P53043
YBR269C	SDH8	S000000473	P38345
YMR220W	ERG8	S000004833	P24521
YLR290C		S000004281	Q05892
YMR188C	MRPS17	S000004800	Q03246
YNL258C	DSL1	S000005202	P53847
YNL075W	IMP4	S000005019	P53941
YPR159W	KRE6	S000006363	P32486
YMR198W	CIK1	S000004811	Q01649
YHR089C	GAR1	S000001131	P28007
YBR194W	AIM4	S000000398	P38305
YBR190W		S000000394	P38303
YNR018W	RCF2	S000005301	P53721
YAL044C	GCV3	S000000042	P39726
YKL197C	PEX1	S000001680	P24004
YKL139W	CTK1	S000001622	Q03957
YGR138C	TPO2	S000003370	P53283
YHR129C	ARP1	S000001171	P38696
YLR436C	ECM30	S000004428	Q06673
YOR253W	NAT5	S000005779	Q08689
YNL268W	LYP1	S000005212	P32487
YIL105C	SLM1	S000001367	P40485
YDL029W	ARP2	S000002187	P32381
YDR403W	DIT1	S000002811	P21623
YOR132W	VPS17	S000005658	P32913
YPR160C-A		S000028726	Q8TGK8
YCL026C-B	HBN1	S000007548	Q96VH4
YPR092W		S000006296	O13586
YDR525W-A	SNA2	S000007236	P56508
YPL255W	BBP1	S000006176	Q12365
YEL012W	UBC8	S000000738	P28263
YOR192C	THI72	S000005718	Q08579
YGL229C	SAP4	S000003198	P53036
YER065C	ICL1	S000000867	P28240
YPR194C	OPT2	S000006398	Q06593
YOL005C	RPB11	S000005365	P38902
YML052W	SUR7	S000004516	P54003
YML064C	TEM1	S000004529	P38987
YHL019C	APM2	S000001011	P38700
YBR167C	POP7	S000000371	P38291
YHL046C	PAU13	S000001038	P38725
YPR176C	BET2	S000006380	P20133
YFL016C	MDJ1	S000001878	P35191
YLR383W	SMC6	S000004375	Q12749
YJL062W	LAS21	S000003598	P40367
YDR140W	MTQ2	S000002547	Q03920
YNL252C	MRPL17	S000005196	P36528
YLR048W	RPS0B	S000004038	P46654
YGR282C	BGL2	S000003514	P15703
YEL033W	MTC7	S000000759	P32633
YMR196W		S000004809	Q04336
YOR205C	GEP3	S000005731	Q08622
YLR299W	ECM38	S000004290	Q05902
YER056C	FCY2	S000000858	P17064
YBR188C	NTC20	S000000392	P38302
YHR178W	STB5	S000001221	P38699
YOR195W	SLK19	S000005721	Q08581
YER114C	BOI2	S000000916	P39969
YOR192C-C		S000028857	Q3E736
YJL191W	RPS14B	S000003727	P39516
YGL258W	VEL1	S000003227	P53058
YIL002C	INP51	S000001264	P40559
YDR518W	EUG1	S000002926	P32474
YKR021W	ALY1	S000001729	P36117
YLR328W	NMA1	S000004320	Q06178
YKL173W	SNU114	S000001656	P36048
YBL003C	HTA2	S000000099	P04912
YNR013C	PHO91	S000005296	P27514
YJR077C	MIR1	S000003838	P23641
YDR376W	ARH1	S000002784	P48360
YJL120W		S000003656	P47020
YPR078C		S000006282	Q06813
YGL058W	RAD6	S000003026	P06104
YFL005W	SEC4	S000001889	P07560
YMR284W	YKU70	S000004897	P32807
YML061C	PIF1	S000004526	P07271
YJL139C	YUR1	S000003675	P26725
Q0045	COX1	S000007260	P00401
YDL129W		S000002287	Q07555
YLR449W	FPR4	S000004441	Q06205
YAL037C-B		S000028592	Q8TGR8
YLR021W	IRC25	S000004011	Q07951
YDL007W	RPT2	S000002165	P40327
YOR145C	PNO1	S000005671	Q99216
YMR317W		S000004936	Q04893
YKR069W	MET1	S000001777	P36150
YOR287C	RRP36	S000005813	Q12481
YIL122W	POG1	S000001384	P40473
YHR071C-A		S000028781	
YPL218W	SAR1	S000006139	P20606
YGR296C-B		S000028643	P0CX95
YGR296C-B		S000028643	P0CX94
YGR296C-B		S000028643	P0CX96
YGR296C-B		S000028643	P0CX98
YGR296C-B		S000028643	P0CX97
YPR037C	ERV2	S000006241	Q12284
YLR080W	EMP46	S000004070	Q12396
YJR149W		S000003910	P47177
YJL145W	SFH5	S000003681	P47008
YKL036C		S000001519	P32859
YPR198W	SGE1	S000006402	P33335
YNR052C	POP2	S000005335	P39008
YHR098C	SFB3	S000001140	P38810
YOR244W	ESA1	S000005770	Q08649
YMR314W	PRE5	S000004931	P40302
YLR173W		S000004163	Q06247
YHR190W	ERG9	S000001233	P29704
YPL097W	MSY1	S000006018	P48527
YNL115C		S000005059	P53925
YLR103C	CDC45	S000004093	Q08032
YBR112C	CYC8	S000000316	P14922
YNL247W		S000005191	P53852
YLR123C		S000004113	Q12174
YOR345C		S000005872	Q08811
YNR065C		S000005348	P53751
YER014C-A	BUD25	S000007590	P85052
YKL132C	RMA1	S000001615	P36001
YPL222W	FMP40	S000006143	Q08968
YKL012W	PRP40	S000001495	P33203
YLR395C	COX8	S000004387	P04039
YHR141C	RPL42B	S000001183	P0CX27
YHR141C	RPL42B	S000001183	P0CX28
YAL041W	CDC24	S000000039	P11433
YBL052C	SAS3	S000000148	P34218
YCL045C	EMC1	S000000550	P25574
YNL011C		S000004956	P53980
YDL135C	RDI1	S000002294	Q12434
YMR237W	BCH1	S000004850	Q05029
Q0032		S000007259	Q9ZZX7
YOR020W-A		S000028526	Q3E824
YOR054C	VHS3	S000005580	Q08438
YMR158C-A		S000007249	Q3E843
Q0070	AI5_ALPHA	S000007265	Q9ZZX1
YGR214W	RPS0A	S000003446	P32905
YIR021W-A		S000028838	Q3E739
YGR046W	TAM41	S000003278	P53230
YGR224W	AZR1	S000003456	P50080
YMR130W		S000004737	Q04223
YLR455W	PDP3	S000004447	Q06188
YDR308C	SRB7	S000002716	P47822
YJL153C	INO1	S000003689	P11986
YGL259W	YPS5	S000003228	P53057
YKR036C	CAF4	S000001744	P36130
YIR030W-A		S000028802	
YDR320C	SWA2	S000002728	Q06677
YIL047C-A		S000028790	
YBR035C	PDX3	S000000239	P38075
YCR002C	CDC10	S000000595	P25342
YOR192C-A		S000007353	Q12439
YDR244W	PEX5	S000002652	P35056
YAL016W	TPD3	S000000014	P31383
YER097W		S000000899	P40062
Q0275	COX3	S000007283	P00420
YPR093C	ASR1	S000006297	Q06834
YMR239C	RNT1	S000004852	Q02555
YLR163C	MAS1	S000004153	P10507
YDL072C	YET3	S000002230	Q07451
YPL190C	NAB3	S000006111	P38996
YHR199C-A	NBL1	S000029704	Q3E7Y6
YER059W	PCL6	S000000861	P40038
YBR207W	FTH1	S000000411	P38310
YIL049W	DFG10	S000001311	P40526
YBR069C	TAT1	S000000273	P38085
YML073C	RPL6A	S000004538	Q02326
YLR084C	RAX2	S000004074	Q12465
YGL215W	CLG1	S000003183	P35190
YPR066W	UBA3	S000006270	Q99344
YOR135C	IRC14	S000005661	Q08522
YNL202W	SPS19	S000005146	P32573
YOR161C-C		S000028712	Q8TGS0
YPL143W	RPL33A	S000006064	P05744
YLR099C	ICT1	S000004089	Q12385
YDR092W	UBC13	S000002499	P52490
YOR080W	DIA2	S000005606	Q08496
YNL277W-A		S000028852	Q3E7Z0
YCL073C	GEX1	S000000575	P25596
YNL133C	FYV6	S000005077	P53913
YJL053W	PEP8	S000003589	P40335
YJL167W	ERG20	S000003703	P08524
YIL097W	FYV10	S000001359	P40492
YOR198C	BFR1	S000005724	P38934
YNR025C		S000005308	P53726
YLR014C	PPR1	S000004004	P07272
YLL065W		S000003988	Q99339
YNL101W	AVT4	S000005045	P50944
YGL241W	KAP114	S000003210	P53067
YML055W	SPC2	S000004519	Q04969
YHR143W-A	RPC10	S000001185	P40422
YLL050C	COF1	S000003973	Q03048
YFL052W		S000001842	P43551
YML035C	AMD1	S000004498	P15274
YGR133W	PEX4	S000003365	P29340
YDR357C	CNL1	S000002765	Q06333
YDR023W	SES1	S000002430	P07284
YDR006C	SOK1	S000002413	P40317
YPL280W	HSP32	S000006201	Q08992
YNL256W	FOL1	S000005200	P53848
YML100W	TSL1	S000004566	P38427
YHR197W	RIX1	S000001240	P38883
YER098W	UBP9	S000000900	P39967
YDR401W		S000002809	O13523
YNL325C	FIG4	S000005269	P42837
YDL244W	THI13	S000002403	Q07748
YGL204C		S000003172	P53089
YBR128C	ATG14	S000000332	P38270
YGL168W	HUR1	S000003136	P45820
YFR010W-A		S000028824	P0C5N0
YPL258C	THI21	S000006179	Q08975
YDR540C	IRC4	S000002948	Q03036
YNL216W	RAP1	S000005160	P11938
YIL036W	CST6	S000001298	P40535
YDL082W	RPL13A	S000002240	Q12690
YJL215C		S000003751	P40895
YOR282W		S000005808	Q08741
YPL096C-A	ERI1	S000028423	P62651
YLR307W	CDA1	S000004298	Q06702
YML119W		S000004588	Q03208
YPL273W	SAM4	S000006194	Q08985
YCL066W	HMLALPHA1	S000000571	P0CY07
YCL066W	HMLALPHA1	S000000571	P0CY06
YPL201C	YIG1	S000006122	Q08956
YLR046C		S000004036	Q12253
YDR316W-A		S000007398	P0CX65
YDR316W-A		S000007398	P0CX66
YDR316W-A		S000007398	P0CX67
YDR316W-A		S000007398	P0CX68
YDR316W-A		S000007398	P0CX69
YHR003C	TCD1	S000001045	P38756
YFL019C		S000001875	P43576
YKR085C	MRPL20	S000001793	P22354
YPL025C		S000005946	Q02659
YPR041W	TIF5	S000006245	P38431
YJL050W	MTR4	S000003586	P47047
YHR171W	ATG7	S000001214	P38862
YLR154C-G		S000028561	Q3E813
YLR051C	FCF2	S000004041	Q12035
YER116C	SLX8	S000000918	P40072
YOR136W	IDH2	S000005662	P28241
YOL086W-A	MHF1	S000007626	Q3E835
YBL113C		S000002153	Q7M4S9
YOR202W	HIS3	S000005728	P06633
YPR016W-A		S000007630	P0C5R5
YHR219C-A		S000028655	P0CL34
YHR219C-A		S000028655	P0CL35
YHR219C-A		S000028655	P0CL36
YLR364W	GRX8	S000004356	Q05926
YNL054W	VAC7	S000004999	P53950
YGR137W		S000003369	P53282
YBR153W	RIB7	S000000357	P33312
YGR142W	BTN2	S000003374	P53286
YOL023W	IFM1	S000005383	P25038
YKL186C	MTR2	S000001669	P34232
YOL165C	AAD15	S000005525	Q08361
YDR221W	GTB1	S000002629	Q04924
YGR264C	MES1	S000003496	P00958
YDL184C	RPL41A	S000002343	P0CX86
YDL184C	RPL41A	S000002343	P0CX87
YDR206W	EBS1	S000002614	Q03466
YKL198C	PTK1	S000001681	P36002
YLR112W		S000004102	Q12130
YBL037W	APL3	S000000133	P38065
YDR504C	SPG3	S000002912	Q04398
YBL083C		S000000179	P38178
YJR152W	DAL5	S000003913	P15365
YPR042C	PUF2	S000006246	Q12221
YBR191W-A		S000007594	P0C5L5
YBR085W	AAC3	S000000289	P18238
YDR215C		S000002623	
YKL076C	PSY1	S000001559	P36082
YER068C-A		S000028749	
YKL106W	AAT1	S000001589	Q01802
YBR281C	DUG2	S000000485	P38149
YDL153C	SAS10	S000002312	Q12136
YBL078C	ATG8	S000000174	P38182
YDL150W	RPC53	S000002309	P25441
YLL001W	DNM1	S000003924	P54861
YOL136C	PFK27	S000005496	Q12471
YER036C	ARB1	S000000838	P40024
YGL052W		S000003020	P53175
YDR398W	UTP5	S000002806	Q04177
YNL168C	FMP41	S000005112	P53889
YGR038W	ORM1	S000003270	P53224
YIL077C		S000001339	P40508
YDR053W		S000002460	Q07790
YKR031C	SPO14	S000001739	P36126
YMR153W	NUP53	S000004762	Q03790
YPL266W	DIM1	S000006187	P41819
YPL279C	FEX2	S000006200	Q08991
YPL264C		S000006185	Q08980
YHR132C	ECM14	S000001174	P38836
YER115C	SPR6	S000000917	Q01684
YLR336C	SGD1	S000004328	Q06132
YDR101C	ARX1	S000002508	Q03862
YDR441C	APT2	S000002849	P36973
YMR121C	RPL15B	S000004728	P54780
YHL014C	YLF2	S000001006	P38746
YIL054W		S000001316	P40524
YMR312W	ELP6	S000004929	Q04868
YMR164C	MSS11	S000004774	Q03825
YOR382W	FIT2	S000005909	Q08906
YLR141W	RRN5	S000004131	Q02983
YOR214C	SPR2	S000005740	Q12282
YJL030W	MAD2	S000003567	P40958
YDR410C	STE14	S000002818	P32584
YDR498C	SEC20	S000002906	P28791
YJR096W		S000003857	P47137
YOR335C	ALA1	S000005862	P40825
YGL059W	PKP2	S000003027	P53170
YNL017C		S000004962	P53977
YMR051C		S000004654	P0CX65
YMR051C		S000004654	P0CX66
YMR051C		S000004654	P0CX67
YMR051C		S000004654	P0CX68
YMR051C		S000004654	P0CX69
YNL087W	TCB2	S000005031	P48231
YHR015W	MIP6	S000001057	P38760
YJL177W	RPL17B	S000003713	P46990
YDR502C	SAM2	S000002910	P19358
YGL037C	PNC1	S000003005	P53184
YDR359C	EAF1	S000002767	Q06337
YLR073C	RFU1	S000004063	Q08003
YLR227W-B		S000007376	P0C2I6
YAR018C	KIN3	S000000071	P22209
YJR076C	CDC11	S000003837	P32458
YCR105W	ADH7	S000000702	P25377
YJR057W	CDC8	S000003818	P00572
YOR112W	CEX1	S000005638	Q12453
YKL045W	PRI2	S000001528	P20457
YBR121C-A		S000028815	P0C5L4
YBR258C	SHG1	S000000462	P38337
YHR162W	MPC2	S000001205	P38857
YPR074C	TKL1	S000006278	P23254
YFR020W		S000001916	P43600
YLR262C-A	TMA7	S000007246	Q3E764
YML013W	UBX2	S000004475	Q04228
YGR014W	MSB2	S000003246	P32334
YGR217W	CCH1	S000003449	P50077
YPL003W	ULA1	S000005924	Q12059
YLR017W	MEU1	S000004007	Q07938
YML089C		S000004554	Q04502
YLR297W		S000004288	Q05899
YNL165W		S000005109	P53891
YDL169C	UGX2	S000002328	P32772
YMR319C	FET4	S000004938	P40988
YMR119W-A		S000004726	
YEL014C		S000000740	P39999
YDL127W	PCL2	S000002285	P25693
YDL136W	RPL35B	S000002295	P0CX84
YDL136W	RPL35B	S000002295	P0CX85
YOR152C		S000005678	Q99325
YDL216C	RRI1	S000002375	Q12468
YBR068C	BAP2	S000000272	P38084
YFR028C	CDC14	S000001924	Q00684
YHR126C	ANS1	S000001168	P38832
YHR008C	SOD2	S000001050	P00447
YDR261C-C		S000007394	P08405
YDR261C-C		S000007394	O74302
YOL001W	PHO80	S000005361	P20052
YML111W	BUL2	S000004579	Q03758
YMR016C	SOK2	S000004618	P53438
YKL023W		S000001506	P36103
YBL017C	PEP1	S000000113	P32319
YBR133C	HSL7	S000000337	P38274
YGR229C	SMI1	S000003461	P32566
YDR015C		S000002422	Q12195
YOR092W	ECM3	S000005618	Q99252
YJL127C	SPT10	S000003663	P35208
YER138W-A		S000007239	P25561
YER138W-A		S000007239	P0C270
YNR010W	CSE2	S000005293	P33308
YDR047W	HEM12	S000002454	P32347
YJR119C	JHD2	S000003880	P47156
YPL001W	HAT1	S000005922	Q12341
YER078W-A		S000028546	Q3E7A2
YMR247W-A		S000028849	Q3E782
YOR381W	FRE3	S000005908	Q08905
YBR159W	IFA38	S000000363	P38286
YDR249C		S000002657	Q03787
YGR158C	MTR3	S000003390	P48240
YOR350C	MNE1	S000005877	P24720
YOR210W	RPB10	S000005736	P22139
YNL105W	RRT16	S000005049	P50943
YKL174C	TPO5	S000001657	P36029
YLR058C	SHM2	S000004048	P37291
YLR403W	SFP1	S000004395	P32432
YLR028C	ADE16	S000004018	P54113
YLR286C	CTS1	S000004276	P29029
YDL044C	MTF2	S000002202	P10849
YBR274W	CHK1	S000000478	P38147
YEL032C-A		S000028620	Q8TGP4
YER081W	SER3	S000000883	P40054
YMR179W	SPT21	S000004791	P35209
YNL305C	BXI1	S000005249	P48558
YDR148C	KGD2	S000002555	P19262
YCR081C-A		S000028609	Q8TGQ0
YER067C-A		S000028748	
YJL059W	YHC3	S000003595	P47040
YEL044W	IES6	S000000770	P32617
YIL130W	ASG1	S000001392	P40467
YFR052C-A		S000028768	
YGL108C		S000003076	P53139
YBL066C	SEF1	S000000162	P34228
YBL051C	PIN4	S000000147	P34217
YGL023C	PIB2	S000002991	P53191
YOR351C	MEK1	S000005878	P24719
YFR035C		S000001931	P43608
YDR042C		S000002449	Q03205
YJR068W	RFC2	S000003829	P40348
YDL168W	SFA1	S000002327	P32771
YBR020W	GAL1	S000000224	P04385
YDL049C	KNH1	S000002207	P50112
YAL019W	FUN30	S000000017	P31380
YDR484W	VPS52	S000002892	P39904
YEL037C	RAD23	S000000763	P32628
YDL114W		S000002272	Q07530
YCL027W	FUS1	S000000532	P11710
YBR273C	UBX7	S000000477	P38349
YHR139C-A		S000003533	O13536
YIL062C	ARC15	S000001324	P40518
YML091C	RPM2	S000004556	Q02773
YCL021W-A		S000007549	Q96VH3
YAL017W	PSK1	S000000015	P31374
YOR372C	NDD1	S000005899	Q08887
YGL098W	USE1	S000003066	P53146
YDL209C	CWC2	S000002368	Q12046
YMR199W	CLN1	S000004812	P20437
YNL329C	PEX6	S000005273	P33760
YJL022W		S000003559	P47066
YCR093W	CDC39	S000000689	P25655
YMR300C	ADE4	S000004915	P04046
YLR159C-A		S000028566	P0CY04
YLR159C-A		S000028566	P0CY05
YLR159C-A		S000028566	P0CY03
YLR159C-A		S000028566	P0CY02
YCR039C	MATALPHA2	S000000635	P0CY09
YCR039C	MATALPHA2	S000000635	P0CY13
YCR039C	MATALPHA2	S000000635	P0CY12
YCR039C	MATALPHA2	S000000635	P0CY08
YBL053W		S000000149	P38190
YLR008C	PAM18	S000003998	Q07914
YIL107C	PFK26	S000001369	P40433
YIL057C	RGI2	S000001319	P40188
YGL136C	MRM2	S000003104	P53123
YBL107W-A		S000007229	Q6B113
YHR024C	MAS2	S000001066	P11914
YLR120C	YPS1	S000004110	P32329
YGR211W	ZPR1	S000003443	P53303
YPR089W		S000006293	O13585
YML007W	YAP1	S000004466	P19880
YEL030C-A		S000028619	Q8TGR5
YPL039W		S000005960	Q03080
YGL041C-B		S000028548	Q3E750
YHR120W	MSH1	S000001162	P25846
YLR237W	THI7	S000004227	Q05998
YCL076W		S000000581	P25602
YBL007C	SLA1	S000000103	P32790
YFL034C-A	RPL22B	S000006436	P56628
YMR194W	RPL36A	S000004807	P05745
YGR068C	ART5	S000003300	P53244
YNR064C		S000005347	P53750
YBR301W	PAU24	S000000505	P38155
YPL075W	GCR1	S000005996	P07261
YPL017C	IRC15	S000005938	Q02733
YGR163W	GTR2	S000003395	P53290
YML004C	GLO1	S000004463	P50107
YNL097W-A		S000028700	Q8TGL8
YDR108W	TRS85	S000002515	P46944
YMR202W	ERG2	S000004815	P32352
YGR292W	MAL12	S000003524	P53341
YOR140W	SFL1	S000005666	P20134
YHR172W	SPC97	S000001215	P38863
YBR266C	SLM6	S000000470	P38343
YKL102C		S000001585	P34249
YDR034C-D		S000007345	Q12472
YEL029C	BUD16	S000000755	P39988
YNL267W	PIK1	S000005211	P39104
YDR058C	TGL2	S000002465	P54857
YLR250W	SSP120	S000004240	P39931
YHR053C	CUP1-1	S000001095	P0CX80
YHR053C	CUP1-1	S000001095	P0CX81
YGR245C	SDA1	S000003477	P53313
YKR066C	CCP1	S000001774	P00431
YNL040W		S000004985	P53960
YGL161C	YIP5	S000003129	P53108
YIL003W	CFD1	S000001265	P40558
YMR105W-A		S000028692	Q8TGS8
YPR144C	NOC4	S000006348	Q06512
YHR214W-A		S000003535	O13534
YOR359W	VTS1	S000005886	Q08831
YFL055W	AGP3	S000001839	P43548
YDR524W-C		S000028740	P0C1Z1
YGR070W	ROM1	S000003302	P53046
YGR181W	TIM13	S000003413	P53299
YIL086C		S000001348	P40503
YPL029W	SUV3	S000005950	P32580
YGL102C		S000003070	P53143
YER007C-A	TMA20	S000002957	P89886
YLR116W	MSL5	S000004106	Q12186
YAL047W-A		S000028733	
YDR197W	CBS2	S000002605	P14905
YJR144W	MGM101	S000003905	P32787
YPL224C	MMT2	S000006145	Q08970
YPL172C	COX10	S000006093	P21592
YMR083W	ADH3	S000004688	P07246
YGR086C	PIL1	S000003318	P53252
YMR156C	TPP1	S000004765	Q03796
YHR205W	SCH9	S000001248	P11792
YOL013W-A		S000028811	P0C272
YGR281W	YOR1	S000003513	P53049
YCR048W	ARE1	S000000644	P25628
YKL182W	FAS1	S000001665	P07149
YDL065C	PEX19	S000002223	Q07418
YPR201W	ARR3	S000006405	Q06598
YLR154W-E		S000028676	Q8TGM5
YMR126C	DLT1	S000004733	Q04216
YDR175C	RSM24	S000002582	Q03976
YEL059W	HHY1	S000000785	P39982
YDR428C	BNA7	S000002836	Q04066
YJL195C		S000003731	P39541
YER032W	FIR1	S000000834	P40020
YMR194C-A		S000007250	P0C5Q6
YOR182C	RPS30B	S000005708	P0CX33
YOR182C	RPS30B	S000005708	P0CX34
YGR194C	XKS1	S000003426	P42826
YHR056W-A		S000028777	
YGR078C	PAC10	S000003310	P48363
YHR163W	SOL3	S000001206	P38858
YMR265C		S000004878	Q03508
YIL162W	SUC2	S000001424	P10594
YIL162W	SUC2	S000001424	P00724
YIL162W	SUC2	S000001424	P10595
YIL162W	SUC2	S000001424	P10596
YIL162W	SUC2	S000001424	P10597
YOR222W	ODC2	S000005748	Q99297
YBL103C	RTG3	S000000199	P38165
YLR358C		S000004350	O13565
YIL052C	RPL34B	S000001314	P40525
YKL108W	SLD2	S000001591	P34252
YML040W		S000004504	P0CX74
YML040W		S000004504	P0CX75
YML040W		S000004504	P0CX76
YMR059W	SEN15	S000004663	Q04675
YDR302W	GPI11	S000002710	Q06636
YOL017W	ESC8	S000005377	Q08119
YLR382C	NAM2	S000004374	P11325
YBR242W		S000000446	P38331
YBL021C	HAP3	S000000117	P13434
YNL246W	VPS75	S000005190	P53853
YER012W	PRE1	S000000814	P22141
YOL030W	GAS5	S000005390	Q08193
YLR301W	HRI1	S000004292	Q05905
YDR082W	STN1	S000002489	P38960
YKL068W-A		S000028524	Q3E826
YDL221W		S000002380	Q07649
YPR139C	LOA1	S000006343	Q06508
YGL141W	HUL5	S000003109	P53119
YOR231C-A		S000028716	Q8TGL2
YOR343W-B		S000007356	Q12501
YDR458C	HEH2	S000002866	Q03281
YPL202C	AFT2	S000006123	Q08957
YJR072C	NPA3	S000003833	P47122
YLR114C	AVL9	S000004104	Q12500
YOL068C	HST1	S000005429	P53685
YPR071W		S000006275	Q12346
YDR267C	CIA1	S000002675	Q05583
YJL019W	MPS3	S000003556	P47069
YLR248W	RCK2	S000004238	P38623
YIL020C	HIS6	S000001282	P40545
YNL063W	MTQ1	S000005007	P53944
YOR073W-A		S000028583	P0C5R3
YOR391C	HSP33	S000005918	Q08914
YFR044C	DUG1	S000001940	P43616
YFL023W	BUD27	S000001871	P43573
YIL129C	TAO3	S000001391	P40468
YFL032W		S000001862	P43566
YBR150C	TBS1	S000000354	P38114
YDR245W	MNN10	S000002653	P50108
YGL176C		S000003144	P46945
YDR149C		S000002556	
YDR212W	TCP1	S000002620	P12612
YMR185W	RTP1	S000004797	Q12751
YOR103C	OST2	S000005629	P46964
YJL091C	GWT1	S000003627	P47026
YDR065W	RRG1	S000002472	Q12167
YKL126W	YPK1	S000001609	P12688
YOR254C	SEC63	S000005780	P14906
YHR174W	ENO2	S000001217	P00925
YLR441C	RPS1A	S000004433	P33442
YDR182W-A		S000028539	Q3E796
YFR012W	DCV1	S000001908	P43595
YBR204C	LDH1	S000000408	P38139
YLR283W		S000004273	Q05867
YGL174W	BUD13	S000003142	P46947
YGR145W	ENP2	S000003377	P48234
YDR061W		S000002468	Q12298
YGR199W	PMT6	S000003431	P42934
YBL005W	PDR3	S000000101	P33200
YLR466C-B		S000028686	Q8TGJ4
YNL018C		S000004963	P53976
YIL108W		S000001370	P40483
YDR404C	RPB7	S000002812	P34087
YML122C		S000004591	Q03207
YBR131W	CCZ1	S000000335	P38273
YOR058C	ASE1	S000005584	P50275
YBL104C	SEA4	S000000200	P38164
YBR095C	RXT2	S000000299	P38255
