Ensembl Gene ID	Associated Gene Name	SGD Gene	UniProt/SwissProt Accession
YBR115C	LYS2	S000000319	P07702
YCR097W	HMRA1	S000000694	P0CY11
YCR097W	HMRA1	S000000694	P0CY10
YBR147W	RTC2	S000000351	P38279
YFL003C	MSH4	S000001891	P40965
YHR086W	NAM8	S000001128	Q00539
YOL120C	RPL18A	S000005480	P0CX49
YOL120C	RPL18A	S000005480	P0CX50
YML079W		S000004544	Q03629
YOR125C	CAT5	S000005651	P41735
YLR065C	ENV10	S000004055	Q99382
YNL298W	CLA4	S000005242	P48562
YPL134C	ODC1	S000006055	Q03028
YER078C	ICP55	S000000880	P40051
YGL225W	VRG4	S000003193	P40107
YLR129W	DIP2	S000004119	Q12220
YNL224C	SQS1	S000005168	P53866
YNL122C		S000005066	P53921
YGL066W	SGF73	S000003034	P53165
YCL067C	HMLALPHA2	S000000572	P0CY09
YCL067C	HMLALPHA2	S000000572	P0CY13
YCL067C	HMLALPHA2	S000000572	P0CY12
YCL067C	HMLALPHA2	S000000572	P0CY08
YNL217W		S000005161	P40152
YGL063W	PUS2	S000003031	P53167
YML030W	RCF1	S000004492	Q03713
YPL152W-A		S000028721	Q8TGR9
YAL039C	CYC3	S000000037	P06182
YOR261C	RPN8	S000005787	Q08723
YLR191W	PEX13	S000004181	P80667
YMR316W	DIA1	S000004935	P54005
YCR027C	RHB1	S000000622	P25378
YDL046W	NPC2	S000002204	Q12408
YER125W	RSP5	S000000927	P39940
YMR263W	SAP30	S000004876	P38429
YOL113W	SKM1	S000005473	Q12469
YAL001C	TFC3	S000000001	P34111
YDR517W	GRH1	S000002925	Q04410
YBR197C		S000000401	P38306
YDR192C	NUP42	S000002600	P49686
YJR132W	NMD5	S000003893	P46970
YER021W	RPN3	S000000823	P40016
YGL034C		S000003002	P53186
YKL014C	URB1	S000001497	P34241
YDL106C	PHO2	S000002264	P07269
YGR197C	SNG1	S000003429	P46950
YDR365C	ESF1	S000002773	Q06344
YNL280C	ERG24	S000005224	P32462
YCR030C	SYP1	S000000626	P25623
YDL154W	MSH5	S000002313	Q12175
YDR505C	PSP1	S000002913	P50896
YGL033W	HOP2	S000003001	P53187
YMR211W	DML1	S000004824	Q03652
YBR221W-A		S000028817	Q3E781
YBL036C		S000000132	P38197
YGL202W	ARO8	S000003170	P53090
YIL176C	PAU14	S000001438	P0CE89
YIL176C	PAU14	S000001438	P0CE88
YOL147C	PEX11	S000005507	Q12462
YPR178W	PRP4	S000006382	P20053
YFR007W	YFH7	S000001903	P43591
YEL008W		S000000734	P40001
YGR072W	UPF3	S000003304	P48412
YER022W	SRB4	S000000824	P32569
YNL069C	RPL16B	S000005013	P26785
YIL118W	RHO3	S000001380	Q00245
YJR008W	MHO1	S000003768	P47085
YKL217W	JEN1	S000001700	P36035
YAR060C		S000000086	P0CX88
YAR060C		S000000086	P0CX89
YCL010C	SGF29	S000000516	P25554
YNL303W		S000005247	P53827
YPL036W	PMA2	S000005957	P19657
YJR024C	MDE1	S000003785	P47095
YBR042C	CST26	S000000246	P38226
YAL047C	SPC72	S000000045	P39723
YER056C-A	RPL34A	S000002135	P87262
YFR011C	MIC19	S000001907	P43594
YDR256C	CTA1	S000002664	P15202
YFL065C		S000001829	P43539
YNL287W	SEC21	S000005231	P32074
YAL065C		S000001817	O13511
YGR103W	NOP7	S000003335	P53261
YLR061W	RPL22A	S000004051	P05749
YLR171W		S000004161	O13562
YGR161W-A		S000007369	P0CX61
YGR161W-A		S000007369	P0CX62
YOR281C	PLP2	S000005807	Q12017
YBR162C	TOS1	S000000366	P38288
YJL078C	PRY3	S000003614	P47033
YMR114C		S000004720	Q04471
YJL152W		S000003688	P47003
YGR251W	NOP19	S000003483	P53317
YJL067W		S000003603	P40365
YBR094W	PBY1	S000000298	P38254
YDR118W-A		S000028820	P0C5L7
YGR065C	VHT1	S000003297	P53241
YGR031C-A	NAG1	S000028636	Q8TGN9
YEL017C-A	PMP2	S000002103	P40975
YGL251C	HFM1	S000003220	P51979
YOR260W	GCD1	S000005786	P09032
YKL021C	MAK11	S000001504	P20484
YKR028W	SAP190	S000001736	P36123
YOR374W	ALD4	S000005901	P46367
YHL026C		S000001018	P38740
YNR062C		S000005345	P53748
YHR014W	SPO13	S000001056	P23624
YCR028C	FEN2	S000000623	P25621
YDL015C	TSC13	S000002173	Q99190
YJL102W	MEF2	S000003638	P39677
YCR016W		S000000609	P25617
YER058W	PET117	S000000860	Q02771
YER149C	PEA2	S000000951	P40091
YJL147C		S000003683	P47007
YDL035C	GPR1	S000002193	Q12361
YDR533C	HSP31	S000002941	Q04432
YGL222C	EDC1	S000003190	P53080
YDL090C	RAM1	S000002248	P22007
YBR177C	EHT1	S000000381	P38295
YJL034W	KAR2	S000003571	P16474
YML012C-A		S000004474	Q6B0Y8
YNR059W	MNT4	S000005342	P53745
YOR034C-A		S000028856	Q3E735
YGR156W	PTI1	S000003388	P39927
